Country,Country.Code,year,Region,IncomeGroup,population,rural.population,hiv.cases,san.access,motor.vehicles,gas.price,co2.emission,mobile.users,internet.users
Belarus,BLR,1960,Europe & Central Asia,Upper middle income,8198000,5541766,,,,,,0,
Belarus,BLR,1961,Europe & Central Asia,Upper middle income,8271216,5496537,,,,,,,
Belarus,BLR,1962,Europe & Central Asia,Upper middle income,8351928,5454527,,,,,,,
Belarus,BLR,1963,Europe & Central Asia,Upper middle income,8437232,5413615,,,,,,,
Belarus,BLR,1964,Europe & Central Asia,Upper middle income,8524224,5371813,,,,,,,
Belarus,BLR,1965,Europe & Central Asia,Upper middle income,8610000,5327265,,,,,,0,
Belarus,BLR,1966,Europe & Central Asia,Upper middle income,8696496,5278460,,,,,,,
Belarus,BLR,1967,Europe & Central Asia,Upper middle income,8785648,5229200,,,,,,,
Belarus,BLR,1968,Europe & Central Asia,Upper middle income,8874552,5177698,,,,,,,
Belarus,BLR,1969,Europe & Central Asia,Upper middle income,8960304,5122301,,,,,,,
Belarus,BLR,1970,Europe & Central Asia,Upper middle income,9040000,5061496,,,,,,0,
Belarus,BLR,1971,Europe & Central Asia,Upper middle income,9115576,4983412,,,,,,,
Belarus,BLR,1972,Europe & Central Asia,Upper middle income,9188968,4902167,,,,,,,
Belarus,BLR,1973,Europe & Central Asia,Upper middle income,9257272,4816336,,,,,,,
Belarus,BLR,1974,Europe & Central Asia,Upper middle income,9317584,4724649,,,,,,,
Belarus,BLR,1975,Europe & Central Asia,Upper middle income,9367000,4625987,,,,,,0,
Belarus,BLR,1976,Europe & Central Asia,Upper middle income,9411000,4536968,,,,,,0,
Belarus,BLR,1977,Europe & Central Asia,Upper middle income,9463000,4450676,,,,,,0,
Belarus,BLR,1978,Europe & Central Asia,Upper middle income,9525000,4367746,,,,,,0,
Belarus,BLR,1979,Europe & Central Asia,Upper middle income,9584000,4282016,,,,,,0,
Belarus,BLR,1980,Europe & Central Asia,Upper middle income,9643000,4194898,,,,,,0,
Belarus,BLR,1981,Europe & Central Asia,Upper middle income,9710000,4120438,,,,,,0,
Belarus,BLR,1982,Europe & Central Asia,Upper middle income,9776000,4044136,,,,,,0,
Belarus,BLR,1983,Europe & Central Asia,Upper middle income,9843000,3966827,,,,,,0,
Belarus,BLR,1984,Europe & Central Asia,Upper middle income,9910000,3888089,,,,,,0,
Belarus,BLR,1985,Europe & Central Asia,Upper middle income,9975000,3807158,,,,,,0,
Belarus,BLR,1986,Europe & Central Asia,Upper middle income,10043000,3749795,,,,,,0,
Belarus,BLR,1987,Europe & Central Asia,Upper middle income,10111000,3691304,,,,,,0,
Belarus,BLR,1988,Europe & Central Asia,Upper middle income,10140000,3617769,,,,,,0,
Belarus,BLR,1989,Europe & Central Asia,Upper middle income,10170000,3544103,,,,,,0,
Belarus,BLR,1990,Europe & Central Asia,Upper middle income,10189000,3466196,10189,9699876,,,,0,0
Belarus,BLR,1991,Europe & Central Asia,Upper middle income,10194000,3428242,10194,,,,,0,
Belarus,BLR,1992,Europe & Central Asia,Upper middle income,10216000,3395901,10216,,,,87487.286,0,
Belarus,BLR,1993,Europe & Central Asia,Upper middle income,10239000,3363716,10239,,,,74451.101,324,
Belarus,BLR,1994,Europe & Central Asia,Upper middle income,10227000,3319991,10227,,,,65914.325,1725,50
Belarus,BLR,1995,Europe & Central Asia,Upper middle income,10194000,3269624,10194,9697050,,,62118.98,5900,298
Belarus,BLR,1996,Europe & Central Asia,Upper middle income,10160000,3217123,10160,,,,60157.135,6550,2977
Belarus,BLR,1997,Europe & Central Asia,Upper middle income,10117000,3162089,10117,,,,59519.077,8164,4959
Belarus,BLR,1998,Europe & Central Asia,Upper middle income,10069000,3105864,10069,,,0.34,57597.569,12141,7438
Belarus,BLR,1999,Europe & Central Asia,Upper middle income,10035000,3054293,10035,,,,55819.074,23458,49661
Belarus,BLR,2000,Europe & Central Asia,Upper middle income,10005000,3004201,10005,9496543,1886994,0.55,53468.527,49469,186133
Belarus,BLR,2001,Europe & Central Asia,Upper middle income,9928000,2933803,9928,,1867522,,52595.781,138438,426965
Belarus,BLR,2002,Europe & Central Asia,Upper middle income,9865000,2868209,19730,,1934603,0.5,52390.429,463200,883013
Belarus,BLR,2003,Europe & Central Asia,Upper middle income,9797000,2801785,19594,,2047043,,53721.55,1119473,
Belarus,BLR,2004,Europe & Central Asia,Upper middle income,9730000,2736290,19460,,2109573,0.62,58037.609,2241593,
Belarus,BLR,2005,Europe & Central Asia,Upper middle income,9663000,2671433,28989,9145426,2269544,,59064.369,4098773,
Belarus,BLR,2006,Europe & Central Asia,Upper middle income,9604000,2611693,28812,,2405840,0.79,61829.287,5949865,1555848
Belarus,BLR,2007,Europe & Central Asia,Upper middle income,9560000,2556497,28680,,2562384,,60281.813,6941580,1883320
Belarus,BLR,2008,Europe & Central Asia,Upper middle income,9528000,2504854,38112,,2705365,1.33,62815.71,8104353,2191440
Belarus,BLR,2009,Europe & Central Asia,Upper middle income,9507000,2456343,38028,,2870674,,60292.814,9667099,2607770
Belarus,BLR,2010,Europe & Central Asia,Upper middle income,9490000,2409036,37960,8959599,3042665,1.08,62221.656,10331735,3017820
Belarus,BLR,2011,Europe & Central Asia,Upper middle income,9473000,2366204,37892,,3190094,,,10720486,3751308
