Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02,222.87,223.25,213.26,219.31,4764400,0,0
2015-01-05,214.55,216.5,207.16,210.09,5368500,0,0
2015-01-06,210.06,214.2,204.21,211.28,6261900,0,0
2015-01-07,213.35,214.78,209.78,210.95,2968400,0,0
2015-01-08,212.81,213.8,210.01,210.62,3442500,0,0
2015-01-09,208.92,209.98,204.96,206.66,4668300,0,0
2015-01-12,203.05,204.47,199.25,202.21,5950300,0,0
2015-01-13,203.32,207.61,200.91,204.25,4477300,0,0
2015-01-14,185.83,195.2,185.0,192.69,11551900,0,0
2015-01-15,194.49,195.75,190.0,191.87,5216500,0,0
2015-01-16,190.7,194.49,189.65,193.07,3603200,0,0
2015-01-20,193.87,194.12,187.04,191.93,4503200,0,0
2015-01-21,189.55,198.68,189.51,196.57,4153000,0,0
2015-01-22,197.0,203.24,195.2,201.62,4116900,0,0
2015-01-23,200.29,203.5,198.33,201.29,3438600,0,0
2015-01-26,201.83,208.62,201.05,206.55,3234500,0,0
2015-01-27,204.42,208.03,203.3,205.98,2781000,0,0
2015-01-28,206.11,206.37,198.42,199.37,3149600,0,0
2015-01-29,201.07,205.98,196.5,205.2,3548100,0,0
2015-01-30,203.96,207.47,203.0,203.6,3007000,0,0
2015-02-02,203.97,211.95,203.3,210.94,4149200,0,0
2015-02-03,213.22,220.37,211.27,218.36,4826200,0,0
2015-02-04,218.29,221.48,216.8,218.55,3305400,0,0
2015-02-05,219.88,225.48,219.64,220.99,3522900,0,0
2015-02-06,222.0,223.4,216.5,217.36,3243900,0,0
2015-02-09,215.38,217.93,211.99,217.48,3472400,0,0
2015-02-10,217.55,220.5,215.0,216.29,5390500,0,0
2015-02-11,212.21,214.74,207.28,212.8,9769100,0,0
2015-02-12,193.57,203.09,193.28,202.88,15649600,0,0
2015-02-13,202.9,205.99,200.91,203.77,6191000,0,0
2015-02-17,205.7,205.7,201.5,204.35,3979600,0,0
2015-02-18,204.17,206.17,202.6,204.46,2713600,0,0
2015-02-19,205.0,212.44,203.75,211.71,5154100,0,0
2015-02-20,210.78,217.6,209.81,217.11,5982100,0,0
2015-02-23,215.66,218.2,206.33,207.34,8499800,0,0
2015-02-24,207.29,207.29,201.7,204.11,6603600,0,0
2015-02-25,204.94,207.14,202.58,203.76,3909500,0,0
2015-02-26,204.0,211.09,202.22,207.19,6472900,0,0
2015-02-27,206.9,208.55,202.8,203.34,3882100,0,0
2015-03-02,202.7,203.34,195.83,197.33,7922100,0,0
2015-03-03,196.81,200.24,195.32,199.56,4432300,0,0
2015-03-04,199.25,202.52,197.21,202.44,4222000,0,0
2015-03-05,202.85,206.19,200.15,200.63,4877000,0,0
2015-03-06,199.21,200.75,192.15,193.88,6712400,0,0
2015-03-09,194.39,194.49,188.25,190.88,6736700,0,0
2015-03-10,188.46,193.5,187.6,190.32,5579700,0,0
2015-03-11,191.15,196.18,191.01,193.74,4974900,0,0
2015-03-12,193.75,194.45,189.75,191.07,4149300,0,0
2015-03-13,188.95,191.75,187.32,188.68,5434300,0,0
2015-03-16,192.0,195.91,189.8,195.7,5628800,0,0
2015-03-17,195.43,198.71,193.94,194.73,4894100,0,0
2015-03-18,194.96,200.88,193.11,200.71,4820900,0,0
2015-03-19,202.0,204.59,194.53,195.65,8475200,0,0
2015-03-20,197.45,198.99,195.62,198.08,4269500,0,0
2015-03-23,198.5,200.5,197.47,199.63,2631600,0,0
2015-03-24,201.58,203.79,199.75,201.72,3649900,0,0
2015-03-25,198.27,198.59,192.7,194.3,5730400,0,0
2015-03-26,193.92,194.79,189.7,190.41,4128000,0,0
2015-03-27,189.07,189.29,181.4,185.0,8604900,0,0
2015-03-30,185.85,192.25,181.8,190.57,10089500,0,0
2015-03-31,193.53,193.76,188.41,188.77,5026600,0,0
2015-04-01,188.7,192.3,186.05,187.59,3794600,0,0
2015-04-02,190.23,193.23,190.0,191.0,5010400,0,0
2015-04-06,198.0,207.75,197.5,203.1,12455800,0,0
2015-04-07,202.51,205.06,201.14,203.25,4347900,0,0
2015-04-08,208.2,210.9,205.87,207.67,6303100,0,0
2015-04-09,208.43,210.37,206.12,210.09,3800200,0,0
2015-04-10,209.85,211.65,209.0,210.9,4067700,0,0
2015-04-13,210.44,213.0,209.05,209.78,3758200,0,0
2015-04-14,208.57,209.49,205.5,207.46,3026000,0,0
2015-04-15,207.46,209.59,206.6,207.83,1952400,0,0
2015-04-16,207.7,209.17,206.29,206.7,1659100,0,0
2015-04-17,204.99,206.88,203.5,206.79,2469900,0,0
2015-04-20,206.78,207.85,203.85,205.27,2559300,0,0
2015-04-21,205.8,210.75,204.31,209.41,3432500,0,0
2015-04-22,212.5,221.88,211.69,219.44,7863000,0,0
2015-04-23,218.27,221.48,217.15,218.6,4411200,0,0
2015-04-24,220.5,220.8,218.01,218.43,2427800,0,0
2015-04-27,222.56,238.75,222.0,231.55,11672600,0,0
2015-04-28,234.75,235.5,228.03,230.48,6085400,0,0
2015-04-29,230.05,234.97,227.63,232.45,3936100,0,0
2015-04-30,230.39,232.89,225.17,226.05,3911900,0,0
2015-05-01,229.94,231.77,220.41,226.03,5281700,0,0
2015-05-04,228.18,234.73,227.11,230.51,4434600,0,0
2015-05-05,237.76,239.5,229.13,232.95,5796900,0,0
