,day,cases
0,1,
1,2,2
2,3,2
3,4,2
4,5,2
5,6,2
6,7,3
7,8,5
8,9,7
9,10,10
10,11,12
11,12,12
12,13,15
13,14,16
14,15,20
15,16,22
16,17,37
17,18,39
18,19,59
19,20,77
20,21,99
21,22,130
22,23,164
23,24,200
24,25,253
25,26,318
26,27,421
27,28,524
28,29,677
29,30,838
30,31,943
31,32,1207
32,33,1552
33,34,2000
34,35,2463
35,36,3011
36,37,3404
37,38,3824
38,39,4316
39,40,4782
40,41,5523
41,42,6186
42,43,6901
43,44,7533
44,45,7989
45,46,8618
46,47,8970
47,48,9313
48,49,9749
49,50,10067
50,51,10441
51,52,10743
